OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Length,Shape_Area,rf_active
41,41,0,1,41,1041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1041,42240.442094204031000,111515934.269435420000000,1
42,42,0,1,42,1042,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1042,42240.428642778868000,111515863.245114830000000,1
43,43,0,1,43,1043,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1043,42240.415519438378000,111515793.953095870000000,1
44,44,0,1,44,1044,1,15,1015,1,15,1015,0,0,0.0000000,0.0000000,1044,42240.402724172309000,111515726.393326190000000,1
45,45,0,1,45,1045,1,16,1016,1,16,1016,0,0,0.0000000,0.0000000,1045,42240.389600821014000,111515657.101247460000000,1
46,46,0,1,46,1046,1,17,1017,1,17,1017,0,0,0.0000000,0.0000000,1046,42240.376149404321000,111515586.076966270000000,1
47,47,0,1,47,1047,1,18,1018,1,18,1018,0,0,0.0000000,0.0000000,1047,42240.362697980156000,111515515.052646060000000,1
48,48,0,1,48,1048,1,19,1019,1,19,1019,0,0,0.0000000,0.0000000,1048,42240.162566916952000,111514458.354626740000000,1
49,49,0,1,49,1049,1,20,1020,1,20,1020,0,0,0.0000000,0.0000000,1049,42240.136320285230000,111514319.771942050000000,1
50,50,0,1,50,1050,1,21,1021,1,21,1021,0,0,0.0000000,0.0000000,1050,42240.114338744388000,111514203.709022250000000,1
51,51,0,1,51,1051,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1051,42240.092357213507000,111514087.646120310000000,0
52,52,0,1,52,1052,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1052,42240.070047601403000,111513969.850907550000000,0
53,53,0,1,53,1053,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1053,42240.047737996458000,111513852.055711750000000,0
54,54,0,1,54,1054,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1054,42240.025756486648000,111513735.992823970000000,0
55,55,0,1,55,1055,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1055,42240.029365469178000,111513755.047849660000000,0
56,56,0,1,56,1056,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1056,42240.164864034239000,111514470.479367670000000,0
57,57,0,1,57,1057,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1057,42240.168472747071000,111514489.533421200000000,0
58,58,0,1,58,1058,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1058,42240.172737705252000,111514512.052021190000000,0
59,59,0,1,59,1059,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1059,42240.175690406795000,111514527.641481220000000,0
60,60,0,1,60,1060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1060,42240.179299361946000,111514546.695533390000000,0
61,61,0,1,61,1061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,1061,42240.182580317523000,111514564.017349210000000,0
