FID,OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Leng,Shape_Area,rf_active
0,41,41,0,1,41,1041,0,0,0,0,0,0,0,0,670047.0000000,297318.0000000,1041,42240.442094200000000,111515934.268999990000000,1
1,42,42,0,1,42,1042,0,0,0,0,0,0,0,0,680607.0000000,297318.0000000,1042,42240.428642799998000,111515863.245000000000000,1
2,43,43,0,1,43,1043,0,0,0,0,0,0,0,0,691167.0000000,297318.0000000,1043,42240.415519399998000,111515793.952999990000000,1
3,44,44,0,1,44,1044,1,15,1015,1,15,1015,0,0,701727.0000000,297318.0000000,1044,42240.402724200001000,111515726.393000010000000,1
4,45,45,0,1,45,1045,1,16,1016,1,16,1016,0,0,712288.0000000,297318.0000000,1045,42240.389600800001000,111515657.101000000000000,1
5,46,46,0,1,46,1046,1,17,1017,1,17,1017,0,0,722848.0000000,297318.0000000,1046,42240.376149399999000,111515586.077000010000000,1
6,47,47,0,1,47,1047,1,18,1018,1,18,1018,0,0,733408.0000000,297318.0000000,1047,42240.362697999997000,111515515.053000000000000,1
7,48,48,0,1,48,1048,1,19,1019,1,19,1019,0,0,743968.0000000,297318.0000000,1048,42240.162566899999000,111514458.355000000000000,1
8,49,49,0,1,49,1049,1,20,1020,1,20,1020,0,0,754528.0000000,297318.0000000,1049,42240.136320300000000,111514319.772000000000000,1
9,50,50,0,1,50,1050,1,21,1021,1,21,1021,0,0,765088.0000000,297318.0000000,1050,42240.114338699997000,111514203.709000010000000,1
10,51,51,0,1,51,1051,0,0,0,0,0,0,0,0,775648.0000000,297318.0000000,1051,42240.092357200003000,111514087.646000000000000,0
11,52,52,0,1,52,1052,0,0,0,0,0,0,0,0,786208.0000000,297318.0000000,1052,42240.070047599998000,111513969.851000000000000,0
12,53,53,0,1,53,1053,0,0,0,0,0,0,0,0,796768.0000000,297318.0000000,1053,42240.047738000001000,111513852.055999990000000,0
13,54,54,0,1,54,1054,0,0,0,0,0,0,0,0,807328.0000000,297318.0000000,1054,42240.025756499999000,111513735.993000000000000,0
14,55,55,0,1,55,1055,0,0,0,0,0,0,0,0,817888.0000000,297318.0000000,1055,42240.029365499999000,111513755.047999990000000,0
15,56,56,0,1,56,1056,0,0,0,0,0,0,0,0,828448.0000000,297318.0000000,1056,42240.164863999998000,111514470.479000000000000,0
16,57,57,0,1,57,1057,0,0,0,0,0,0,0,0,839008.0000000,297318.0000000,1057,42240.168472700003000,111514489.533000010000000,0
17,58,58,0,1,58,1058,0,0,0,0,0,0,0,0,849568.0000000,297318.0000000,1058,42240.172737699999000,111514512.052000000000000,0
18,59,59,0,1,59,1059,0,0,0,0,0,0,0,0,860128.0000000,297317.0000000,1059,42240.175690399999000,111514527.641000000000000,0
19,60,60,0,1,60,1060,0,0,0,0,0,0,0,0,870689.0000000,297317.0000000,1060,42240.179299399999000,111514546.695999990000000,0
20,61,61,0,1,61,1061,0,0,0,0,0,0,0,0,881249.0000000,297317.0000000,1061,42240.182580300003000,111514564.017000000000000,0
21,62,62,0,1,62,1062,0,0,0,0,0,0,0,0,891809.0000000,297317.0000000,1062,42240.186189400003000,111514583.070999990000000,0
22,63,63,0,1,63,1063,0,0,0,0,0,0,0,0,902369.0000000,297317.0000000,1063,42240.336779800004000,111515378.187000010000000,0
23,64,64,0,1,64,1064,0,0,0,0,0,0,0,0,912929.0000000,297317.0000000,1064,42240.661254300001000,111517091.411000000000000,0
24,65,65,0,1,65,1065,0,0,0,0,0,0,0,0,923489.0000000,297317.0000000,1065,42240.671096899998000,111517143.381000000000000,0
25,66,66,0,1,66,1066,0,0,0,0,0,0,0,0,934050.0000000,297317.0000000,1066,42240.680611500000000,111517193.619000000000000,0
26,67,67,0,1,67,1067,0,0,0,0,0,0,0,0,944610.0000000,297317.0000000,1067,42240.690126000001000,111517243.856000010000000,0
27,68,68,0,1,68,1068,0,0,0,0,0,0,0,0,955170.0000000,297317.0000000,1068,42240.699968699999000,111517295.826000010000000,0
28,69,69,0,1,69,1069,0,0,0,0,0,0,0,0,965731.0000000,297317.0000000,1069,42240.709811300003000,111517347.796000000000000,0
29,70,70,0,1,70,1070,0,0,0,0,0,0,0,0,976291.0000000,297317.0000000,1070,42240.719325899998000,111517398.033000010000000,0
30,111,111,0,2,41,2041,0,0,0,0,0,0,0,0,670047.0000000,307878.0000000,2041,42240.438813399996000,111515916.947000000000000,1
31,112,112,0,2,42,2042,0,0,0,0,0,0,0,0,680607.0000000,307878.0000000,2042,42240.426018200000000,111515849.386999990000000,1
32,113,113,0,2,43,2043,0,0,0,0,0,0,0,0,691167.0000000,307878.0000000,2043,42240.412894800000000,111515780.095000000000000,1
33,114,114,0,2,44,2044,1,15,2015,1,15,2015,0,0,701727.0000000,307878.0000000,2044,42240.399443399998000,111515709.070999990000000,1
34,115,115,0,2,45,2045,1,16,2016,1,16,2016,0,0,712288.0000000,307878.0000000,2045,42240.385992000003000,111515638.046000000000000,1
35,116,116,0,2,46,2046,1,17,2017,1,17,2017,0,0,722848.0000000,307878.0000000,2046,42240.372540600001000,111515567.022000000000000,1
36,117,117,0,2,47,2047,1,18,2018,1,18,2018,0,0,733408.0000000,307878.0000000,2047,42240.359745299997000,111515499.462000000000000,1
37,118,118,0,2,48,2048,1,19,2019,1,19,2019,0,0,743968.0000000,307878.0000000,2048,42240.172081400000000,111514508.591000010000000,1
38,119,119,0,2,49,2049,1,20,2020,1,20,2020,0,0,754528.0000000,307878.0000000,2049,42240.146490899999000,111514373.473000000000000,1
39,120,120,0,2,50,2050,1,21,2021,1,21,2021,0,0,765088.0000000,307878.0000000,2050,42240.124509399997000,111514257.410000000000000,1
40,121,121,0,2,51,2051,0,0,0,0,0,0,0,0,775648.0000000,307878.0000000,2051,42240.102199800000000,111514139.614999990000000,0
41,122,122,0,2,52,2052,0,0,0,0,0,0,0,0,786208.0000000,307878.0000000,2052,42240.079562100000000,111514020.088000000000000,0
42,123,123,0,2,53,2053,0,0,0,0,0,0,0,0,796768.0000000,307878.0000000,2053,42240.057908600000000,111513905.757000000000000,0
43,124,124,0,2,54,2054,0,0,0,0,0,0,0,0,807328.0000000,307878.0000000,2054,42240.035599000003000,111513787.962000000000000,0
44,125,125,0,2,55,2055,0,0,0,0,0,0,0,0,817888.0000000,307878.0000000,2055,42240.031990199997000,111513768.907000010000000,0
45,126,126,0,2,56,2056,0,0,0,0,0,0,0,0,828448.0000000,307878.0000000,2056,42240.123525499999000,111514252.213000000000000,0
46,127,127,0,2,57,2057,0,0,0,0,0,0,0,0,839008.0000000,307878.0000000,2057,42240.127134199996000,111514271.267000000000000,0
47,128,128,0,2,58,2058,0,0,0,0,0,0,0,0,849568.0000000,307878.0000000,2058,42240.130414899999000,111514288.588000000000000,0
48,129,129,0,2,59,2059,0,0,0,0,0,0,0,0,860128.0000000,307877.0000000,2059,42240.133695700002000,111514305.910000000000000,0
49,130,130,0,2,60,2060,0,0,0,0,0,0,0,0,870688.0000000,307877.0000000,2060,42240.136976599999000,111514323.231999990000000,0
50,131,131,0,2,61,2061,0,0,0,0,0,0,0,0,881249.0000000,307877.0000000,2061,42240.140585599998000,111514342.286000000000000,0
51,132,132,0,2,62,2062,0,0,0,0,0,0,0,0,891809.0000000,307877.0000000,2062,42240.143538600001000,111514357.875000000000000,0
52,133,133,0,2,63,2063,0,0,0,0,0,0,0,0,902369.0000000,307877.0000000,2063,42240.305939999998000,111515215.353000000000000,0
53,134,134,0,2,64,2064,0,0,0,0,0,0,0,0,912929.0000000,307877.0000000,2064,42240.646818599998000,111517015.191000000000000,0
54,135,135,0,2,65,2065,0,0,0,0,0,0,0,0,923489.0000000,307877.0000000,2065,42240.656333100000000,111517065.429000010000000,0
55,136,136,0,2,66,2066,0,0,0,0,0,0,0,0,934050.0000000,307877.0000000,2066,42240.665191499997000,111517112.202000010000000,0
56,137,137,0,2,67,2067,0,0,0,0,0,0,0,0,944610.0000000,307877.0000000,2067,42240.675034200001000,111517164.171000000000000,0
57,138,138,0,2,68,2068,0,0,0,0,0,0,0,0,955170.0000000,307877.0000000,2068,42240.684876799998000,111517216.141000000000000,0
58,139,139,0,2,69,2069,0,0,0,0,0,0,0,0,965731.0000000,307877.0000000,2069,42240.694719500003000,111517268.111000000000000,0
59,140,140,0,2,70,2070,0,0,0,0,0,0,0,0,976291.0000000,307877.0000000,2070,42240.704890200002000,111517321.812999990000000,0
60,181,181,0,3,41,3041,0,0,0,0,0,0,0,0,670047.0000000,318438.0000000,3041,42240.436188799998000,111515903.089000000000000,1
61,182,182,0,3,42,3042,0,0,0,0,0,0,0,0,680607.0000000,318438.0000000,3042,42240.422737399997000,111515832.064000000000000,1
62,183,183,0,3,43,3043,0,0,0,0,0,0,0,0,691167.0000000,318438.0000000,3043,42240.409614099997000,111515762.772000000000000,1
63,184,184,0,3,44,3044,1,15,3015,1,15,3015,0,0,701727.0000000,318438.0000000,3044,42240.396162700003000,111515691.748000000000000,1
64,185,185,0,3,45,3045,1,16,3016,1,16,3016,0,0,712288.0000000,318438.0000000,3045,42240.383367399998000,111515624.187999990000000,1
65,186,186,0,3,46,3046,1,17,3017,1,17,3017,0,0,722848.0000000,318438.0000000,3046,42240.369916000003000,111515553.164000000000000,1
66,187,187,0,3,47,3047,1,18,3018,1,18,3018,0,0,733408.0000000,318438.0000000,3047,42240.356464600001000,111515482.140000000000000,1
67,188,188,0,3,48,3048,1,19,3019,1,19,3019,0,0,743968.0000000,318438.0000000,3048,42240.181923999997000,111514560.560000000000000,1
68,189,189,0,3,49,3049,1,20,3020,1,20,3020,0,0,754528.0000000,318438.0000000,3049,42240.156333500003000,111514425.442000000000000,1
69,190,190,0,3,50,3050,1,21,3021,1,21,3021,0,0,765088.0000000,318438.0000000,3050,42240.134680000003000,111514311.112000000000000,1
70,191,191,0,3,51,3051,1,22,3022,1,22,3022,0,0,775648.0000000,318438.0000000,3051,42240.112042300003000,111514191.584000010000000,1
71,192,192,0,3,52,3052,1,23,3023,1,23,3023,0,0,786208.0000000,318438.0000000,3052,42240.090060800001000,111514075.521000000000000,1
72,193,193,0,3,53,3053,1,24,3024,1,24,3024,0,0,796768.0000000,318438.0000000,3053,42240.067423100001000,111513955.994000000000000,1
73,194,194,0,3,54,3054,1,25,3025,1,25,3025,0,0,807328.0000000,318438.0000000,3054,42240.045769700002000,111513841.663000000000000,1
74,195,195,0,3,55,3055,0,0,0,0,0,0,0,0,817888.0000000,318438.0000000,3055,42240.034942999999000,111513784.498000000000000,0
75,196,196,0,3,56,3056,0,0,0,0,0,0,0,0,828448.0000000,318438.0000000,3056,42240.080874699997000,111514027.017000000000000,0
76,197,197,0,3,57,3057,0,0,0,0,0,0,0,0,839008.0000000,318438.0000000,3057,42240.084155299999000,111514044.338000000000000,0
77,198,198,0,3,58,3058,0,0,0,0,0,0,0,0,849568.0000000,318437.0000000,3058,42240.088092200000000,111514065.125000000000000,0
78,199,199,0,3,59,3059,0,0,0,0,0,0,0,0,860128.0000000,318437.0000000,3059,42240.091701099998000,111514084.179000010000000,0
79,200,200,0,3,60,3060,0,0,0,0,0,0,0,0,870688.0000000,318437.0000000,3060,42240.095638100000000,111514104.965000000000000,0
80,201,201,0,3,61,3061,0,0,0,0,0,0,0,0,881249.0000000,318437.0000000,3061,42240.098918999996000,111514122.287000000000000,0
81,202,202,0,3,62,3062,0,0,0,0,0,0,0,0,891809.0000000,318437.0000000,3062,42240.101871999999000,111514137.876000000000000,0
82,203,203,0,3,63,3063,0,0,0,0,0,0,0,0,902369.0000000,318437.0000000,3063,42240.275428200002000,111515054.251000000000000,0
83,204,204,0,3,64,3064,0,0,0,0,0,0,0,0,912929.0000000,318437.0000000,3064,42240.631726799998000,111516935.507000000000000,0
84,205,205,0,3,65,3065,0,0,0,0,0,0,0,0,923489.0000000,318437.0000000,3065,42240.641569400002000,111516987.477000000000000,0
85,206,206,0,3,66,3066,0,0,0,0,0,0,0,0,934050.0000000,318437.0000000,3066,42240.650755800001000,111517035.981999990000000,0
86,207,207,0,3,67,3067,0,0,0,0,0,0,0,0,944610.0000000,318437.0000000,3067,42240.660926600001000,111517089.684000000000000,0
87,208,208,0,3,68,3068,0,0,0,0,0,0,0,0,955170.0000000,318437.0000000,3068,42240.670441100003000,111517139.921000000000000,0
88,209,209,0,3,69,3069,0,0,0,0,0,0,0,0,965731.0000000,318437.0000000,3069,42240.679955699998000,111517190.158999990000000,0
89,210,210,0,3,70,3070,0,0,0,0,0,0,0,0,976291.0000000,318437.0000000,3070,42240.689798400002000,111517242.128999990000000,0
90,251,251,0,4,41,4041,0,0,0,0,0,0,0,0,670047.0000000,328999.0000000,4041,42240.426346499997000,111515851.120000000000000,1
91,252,252,0,4,42,4042,1,13,4013,1,13,4013,0,0,680607.0000000,328998.0000000,4042,42240.414535500000000,111515788.757000000000000,1
92,253,253,0,4,43,4043,1,14,4014,1,14,4014,0,0,691167.0000000,328998.0000000,4043,42240.402068299998000,111515722.930000010000000,1
93,254,254,0,4,44,4044,1,15,4015,1,15,4015,0,0,701728.0000000,328998.0000000,4044,42240.389601100003000,111515657.103000000000000,1
94,255,255,0,4,45,4045,1,16,4016,1,16,4016,0,0,712288.0000000,328998.0000000,4045,42240.377461999997000,111515593.007000000000000,1
95,256,256,0,4,46,4046,1,17,4017,1,17,4017,0,0,722848.0000000,328998.0000000,4046,42240.365322899997000,111515528.912000000000000,1
96,257,257,0,4,47,4047,1,18,4018,1,18,4018,0,0,733408.0000000,328998.0000000,4047,42240.352855800003000,111515463.084999990000000,1
97,258,258,0,4,48,4048,1,19,4019,1,19,4019,0,0,743968.0000000,328998.0000000,4048,42240.191766600001000,111514612.530000000000000,1
98,259,259,0,4,49,4049,1,20,4020,1,20,4020,0,0,754528.0000000,328998.0000000,4049,42240.168800799998000,111514491.270000000000000,1
99,260,260,0,4,50,4050,1,21,4021,1,21,4021,0,0,765088.0000000,328998.0000000,4050,42240.149115799999000,111514387.333000000000000,1
100,261,261,0,4,51,4051,1,22,4022,1,22,4022,0,0,775648.0000000,328998.0000000,4051,42240.128446600000000,111514278.199000000000000,1
101,262,262,0,4,52,4052,1,23,4023,1,23,4023,0,0,786208.0000000,328998.0000000,4052,42240.108105500003000,111514170.797999990000000,1
102,263,263,0,4,53,4053,1,24,4024,1,24,4024,0,0,796768.0000000,328998.0000000,4053,42240.087436299997000,111514061.664000000000000,1
103,264,264,0,4,54,4054,1,25,4025,1,25,4025,0,0,807328.0000000,328998.0000000,4054,42240.066111000000000,111513949.065000000000000,1
104,265,265,0,4,55,4055,1,26,4026,1,26,4026,0,0,817888.0000000,328998.0000000,4055,42240.048722599997000,111513857.253999990000000,1
105,266,266,0,4,56,4056,1,27,4027,1,27,4027,0,0,828448.0000000,328998.0000000,4056,42240.052331400002000,111513876.309000000000000,1
106,267,267,0,4,57,4057,0,0,0,0,0,0,0,0,839008.0000000,328998.0000000,4057,42240.054299700001000,111513886.701000010000000,0
107,268,268,0,4,58,4058,0,0,0,0,0,0,0,0,849568.0000000,328997.0000000,4058,42240.055611900003000,111513893.630000000000000,0
108,269,269,0,4,59,4059,0,0,0,0,0,0,0,0,860128.0000000,328997.0000000,4059,42240.057252300001000,111513902.290000010000000,0
109,270,270,0,4,60,4060,0,0,0,0,0,0,0,0,870688.0000000,328997.0000000,4060,42240.059548899997000,111513914.415000010000000,0
110,271,271,0,4,61,4061,0,0,0,0,0,0,0,0,881248.0000000,328997.0000000,4061,42240.061517499998000,111513924.807000000000000,0
111,272,272,0,4,62,4062,0,0,0,0,0,0,0,0,891809.0000000,328997.0000000,4062,42240.064142299998000,111513938.665000010000000,0
112,273,273,0,4,63,4063,0,0,0,0,0,0,0,0,902369.0000000,328997.0000000,4063,42240.247869100000000,111514908.739999990000000,0
113,274,274,0,4,64,4064,0,0,0,0,0,0,0,0,912929.0000000,328997.0000000,4064,42240.618275300003000,111516864.484000000000000,0
114,275,275,0,4,65,4065,0,0,0,0,0,0,0,0,923489.0000000,328997.0000000,4065,42240.627461700002000,111516912.988999990000000,0
115,276,276,0,4,66,4066,0,0,0,0,0,0,0,0,934049.0000000,328997.0000000,4066,42240.636976299997000,111516963.227000000000000,0
116,277,277,0,4,67,4067,0,0,0,0,0,0,0,0,944610.0000000,328997.0000000,4067,42240.646162800003000,111517011.731999990000000,0
117,278,278,0,4,68,4068,0,0,0,0,0,0,0,0,955170.0000000,328997.0000000,4068,42240.655021200000000,111517058.505000000000000,0
118,279,279,0,4,69,4069,0,0,0,0,0,0,0,0,965730.0000000,328997.0000000,4069,42240.664535800002000,111517108.742000000000000,0
119,280,280,0,4,70,4070,0,0,0,0,0,0,0,0,976291.0000000,328997.0000000,4070,42240.675034599997000,111517164.176000000000000,0
120,321,321,0,5,41,5041,0,0,0,0,0,0,0,0,670047.0000000,339559.0000000,5041,42240.367620400000000,111515541.044000000000000,1
121,322,322,0,5,42,5042,1,13,5013,1,13,5013,0,0,680607.0000000,339559.0000000,5042,42240.364995700002000,111515527.185000000000000,1
122,323,323,0,5,43,5043,1,14,5014,1,14,5014,0,0,691167.0000000,339558.0000000,5043,42240.360730599998000,111515504.665000010000000,1
123,324,324,0,5,44,5044,1,15,5015,1,15,5015,0,0,701728.0000000,339558.0000000,5044,42240.358105899999000,111515490.805999990000000,1
124,325,325,0,5,45,5045,1,16,5016,1,16,5016,0,0,712288.0000000,339558.0000000,5045,42240.355481200000000,111515476.948000000000000,1
125,326,326,0,5,46,5046,1,17,5017,1,17,5017,0,0,722848.0000000,339558.0000000,5046,42240.352528299998000,111515461.356999990000000,1
126,327,327,0,5,47,5047,1,18,5018,1,18,5018,0,0,733408.0000000,339558.0000000,5047,42240.349247500002000,111515444.033999990000000,1
127,328,328,0,5,48,5048,1,19,5019,1,19,5019,0,0,743968.0000000,339558.0000000,5048,42240.208499400003000,111514700.878999990000000,1
128,329,329,0,5,49,5049,1,20,5020,1,20,5020,0,0,754528.0000000,339558.0000000,5049,42240.208171300001000,111514699.147000000000000,1
129,330,330,0,5,50,5050,1,21,5021,1,21,5021,0,0,765088.0000000,339558.0000000,5050,42240.208827399998000,111514702.611000000000000,1
130,331,331,0,5,51,5051,1,22,5022,1,22,5022,0,0,775648.0000000,339558.0000000,5051,42240.209811699999000,111514707.808000000000000,1
131,332,332,0,5,52,5052,1,23,5023,1,23,5023,0,0,786208.0000000,339558.0000000,5052,42240.210467800003000,111514711.272000000000000,1
132,333,333,0,5,53,5053,1,24,5024,1,24,5024,0,0,796768.0000000,339558.0000000,5053,42240.212108200001000,111514719.934000000000000,1
133,334,334,0,5,54,5054,1,25,5025,1,25,5025,0,0,807328.0000000,339558.0000000,5054,42240.212436200003000,111514721.665999990000000,1
134,335,335,0,5,55,5055,1,26,5026,1,26,5026,0,0,817888.0000000,339558.0000000,5055,42240.210467700002000,111514711.272000000000000,1
135,336,336,0,5,56,5056,1,27,5027,1,27,5027,0,0,828448.0000000,339558.0000000,5056,42240.193407300001000,111514621.193000000000000,1
136,337,337,0,5,57,5057,1,28,5028,1,28,5028,0,0,839008.0000000,339558.0000000,5057,42240.183236700002000,111514567.492000000000000,1
137,338,338,0,5,58,5058,1,29,5029,1,29,5029,0,0,849568.0000000,339557.0000000,5058,42240.172409899998000,111514510.326000010000000,1
